hh_g02,unit,region,kg_convwt0,kg_convwt1
411,10B,1,.11,.2147778
411,10B,2,.21,.1465
411,10B,3,.2,.1332222
411,10C,1,.26,.1875652
411,10C,2,.25,.2058333
411,10C,3,.32,.2025312
411,16,1,.38,
411,16,2,.38,
411,16,3,.38,
411,9,1,.08,
411,9,2,.08,
411,9,3,.08,
411,9A,1,.04,.0257738
411,9A,2,.04,.0257738
411,9A,3,.04,.0257738
411,9B,1,.08,.0358077
411,9B,2,.08,.0358077
411,9B,3,.08,.0358077
411,9C,1,,.0326465
411,9C,2,,.0326465
411,9C,3,,.0326465
413,10,1,.38,.3768462
413,10,2,.36,.3572667
413,10,3,.23,.23
413,9,1,.19,.0683334
413,9,2,.19,.0683334
413,9,3,.19,.0683334
501,9,1,.07,.058
501,9,2,.06,.058
501,9,3,.06,.066
502,10,1,.19,
502,10,2,.19,
502,10,3,.19,
502,10A,1,.08,.084
502,10A,2,.06,.086
502,10A,3,.06,.0445
502,10B,1,.28,.4108636
502,10B,2,.17,.1712727
502,10B,3,.14,.1172
502,10C,1,1.22,.555
502,10C,2,.21,.1509
502,10C,3,.37,.106
502,10D,1,.08,.059127
502,10D,2,.08,.0711509
502,10D,3,.11,.0596667
502,10E,1,.25,.0881667
502,10E,2,.13,.0925192
502,10E,3,.15,.077961
502,10F,1,.75,.1406441
502,10F,2,.22,.1051935
502,10F,3,.19,.0928
502,9,1,.21,
502,9,2,.13,
502,9,3,.19,
502,9A,1,.08,.089
502,9A,2,.05,.08
502,9A,3,.04,.036
502,9B,1,.21,.2577083
502,9B,2,.13,.1641053
502,9B,3,.19,.1192075
502,9C,1,.84,.3522222
502,9C,2,.4,.2691875
502,9C,3,.36,.1545349
503,10,1,.34,
503,10,2,.34,
503,10,3,.34,
503,10A,1,.17,.5201052
503,10A,2,.29,.172
503,10A,3,.22,.15175
503,10B,1,.28,.6408
503,10B,2,.31,.1046667
503,10B,3,.33,.1367778
503,10C,1,.79,.8515
503,10C,2,.41,.157
503,10C,3,.37,.102
503,10D,1,.28,.21684
503,10D,2,.17,.1283333
503,10D,3,.22,.0777333
503,10E,1,.37,.1775667
503,10E,2,.29,.1355
503,10E,3,.44,.0707222
503,10F,1,.77,.3556
503,10F,2,.42,.765
503,10F,3,.64,.3882857
503,9,1,.44,
503,9,2,.37,
503,9,3,.41,
503,9A,1,.35,.6466364
503,9A,2,.19,.139625
503,9A,3,.28,.099973
503,9B,1,.44,.6752917000000001
503,9B,2,.37,.3370769
503,9B,3,.41,.1495161
503,9C,1,.77,.9763636999999999
503,9C,2,.71,.2777692
503,9C,3,.52,.3207369
504,9,1,,1.003402
504,9,2,,.9684
504,9,3,,.9953684
505,9,1,,1.000035
505,9,2,,.9052838
505,9,3,,1.004525
506,9,1,,1.028397
506,9,2,,.8609091
506,9,3,,.9494681
507,9,1,,.996
507,9,2,,1.341
507,9,3,,1.535
508,9,1,1.68,1.627918
508,9,2,1.53,1.35431
508,9,3,1.31,1.282182
509,9,1,,1.187282
509,9,2,,1.187282
509,9,3,,1.187282
511,10,1,.06,.0644
511,10,2,.08,.078
511,10,3,.04,.044
511,6,1,.07,.0747143
511,6,2,.1,.0958125
511,6,3,.06,.061
511,7,1,.16,.158875
511,7,2,.11,.1148571
511,7,3,.11,.11425
512,17,1,.18,.1824615
512,17,2,.16,.1601539
512,17,3,.18,.18445
513,10,1,,.1498044
513,10,2,,.1379655
513,10,3,,.1141184
513,10A,1,.07,
513,10A,2,.08,
513,10A,3,.07,
513,10B,1,.16,
513,10B,2,.14,
513,10B,3,.17,
513,9,1,.26,.036
513,9,2,.16,.044
513,9,3,.14,.0662241
513,9A,1,.04,
513,9A,2,.04,
513,9A,3,.05,
513,9B,1,.26,
513,9B,2,.16,
513,9B,3,.14,
513,9C,1,.32,
513,9C,2,.32,
513,9C,3,.32,
601,10,1,,.9041754
601,10,2,,.9041754
601,10,3,,.9041754
601,21,1,2.36,
601,21,2,2.36,
601,21,3,2.36,
601,4,1,3.78,3.7785
601,4,2,3.78,3.7785
601,4,3,3.78,3.7785
601,8,1,1.08,1.076
601,8,2,1.08,1.076
601,8,3,1.08,1.076
601,9,1,.18,
601,9,2,.19,
601,9,3,.3,
601,9A,1,.13,.1321136
601,9A,2,.11,.18165
601,9A,3,.22,.1529189
601,9B,1,.18,.137375
601,9B,2,.19,.228087
601,9B,3,.3,.2005385
601,9C,1,.3,.2134
601,9C,2,.32,.2689286
601,9C,3,.67,.2557419
602,10,1,,.609973
602,10,2,,.3332857
602,10,3,,.1573529
602,8,1,.46,
602,8,2,1.14,
602,8,3,1.28,
602,8A,1,.32,.50284
602,8A,2,.71,.4254043
602,8A,3,.78,.4839231
602,8B,1,.46,.7531795
602,8B,2,1.14,.73766
602,8B,3,1.28,.7579506
